인허가일자,폐업일자,경도,위도
2007-04-17,2028-05-30,126.75534567004645,37.4888389175587
2008-01-03,2028-05-30,126.76396689887659,37.50405266590142
2008-10-10,2028-05-30,126.80233825736194,37.51586749600075
2005-02-28,2028-05-30,126.8142871288348,37.4848508907638
2009-09-23,2028-05-30,126.75663307810775,37.504120986505725
2009-12-29,2028-05-30,126.78209365086047,37.485054469088674
2009-09-23,2028-05-30,126.75663307810775,37.504120986505725
2010-04-14,2028-05-30,126.76396689887659,37.50405266590142
2010-12-10,2028-05-30,126.75382809917397,37.50640734569622
2011-10-06,2028-05-30,126.77160966457326,37.51364455459275
2011-10-17,2028-05-30,126.76655735537702,37.49272236011713
2011-10-17,2028-05-30,126.78623659361682,37.52931866635082
2012-03-12,2028-05-30,126.80532999247069,37.48662196834974
2012-04-02,2028-05-30,126.79919439463426,37.47510445060577
2012-04-02,2028-05-30,126.77794897182454,37.501036596331424
2012-04-10,2028-05-30,126.7667976176824,37.504776279622874
2012-04-10,2028-05-30,126.75320776470197,37.49129807422672
2012-04-10,2028-05-30,126.79419061163766,37.51989109155696
2012-04-10,2028-05-30,126.77162886711618,37.50119280076873
2012-04-10,2028-05-30,126.7778422191303,37.499070711002034
2019-05-02,2028-05-30,126.81394206551526,37.46151683718071
2023-09-22,2028-05-30,126.81266161565276,37.473103967982446
1996-07-15,2018-11-07,126.77522480591652,37.50407744056689
2003-01-10,2025-07-31,126.75500372654234,37.504313469041875
2011-10-13,2014-09-17,126.76980565461446,37.51585165149004
2011-10-13,2019-10-31,126.80975565181848,37.47123187727151
2006-08-16,2020-10-19,126.7636198610138,37.48441410068596
2011-10-28,2017-04-10,126.80947048386047,37.472735347744354
2012-01-26,2021-03-12,126.76431857429877,37.48352257046477
2014-10-07,2021-10-13,126.7689593835659,37.482917632786425
1970-12-21,2028-05-30,126.85519064384465,37.47957259574487
2025-05-19,2028-05-30,126.85993306317695,37.48628404050952
2025-07-29,2028-05-30,126.86854417548483,37.48246274510867
2022-05-11,2028-05-30,126.86676896934652,37.47957600715893
2021-03-05,2028-05-30,126.88264736704538,37.418749634651434
2014-11-26,2028-05-30,126.88345893832923,37.42417025177488
2014-09-11,2028-05-30,126.85171029772218,37.468623341299725
2014-09-11,2028-05-30,126.85108991275762,37.468067003749795
